Volume,Issue,Accessed from,Date published,Editor,Credits ,Total pages,Price,Published by,Printed by ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,Gale Primary Sources,1977,Jackie Forster,"Di, Helen, Irene, Joan, Jenny, Jan, Jean, Kate, Liz, Lynn, Mary, Myles, Murray, Renee, Sally,  Vera, Alexandra Latham",36,50p,Sappho Publications LTD,Hanway Place Print Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,Gale Primary Sources,1977,Jackie Forster,"Di, Helen, Irene, Joan, Jenny, Jan, Jean, Kate, Liz, Lynn, Mary, Myles, Murray, Renee, Sally,  Vera, Alexandra Latham",36,50p,Sappho Publications LTD,Hanway Place Print Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,Gale Primary Sources,1977,Jackie Forster,"Di, Helen, Irene, Joan, Jenny, Jan, Jean, Kate, Liz, Lynn, Mary, Myles, Murray, Renee, Sally,  Vera, Alexandra Latham",36,50p,Sappho Publications LTD,Hanway Place Print Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Gale Primary Sources,1977,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Kate, Maria, Myles, Murray, Renee, Rosemary, Sally, Alexandra Latham",36,50p,Sappho Publications LTD,Hanway Place Print Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,Gale Primary Sources,1978,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Kate, Maria, Myles, Murray, Renee, Rosemary, Sally, Alexandra Latham",36,50p,Sappho Publications LTD,Hanway Place Print Company 016374198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,Gale Primary Sources,1978,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Kate, Maria, Myles, Murray, Renee, Rosemary, Sally, Valerie Taylor",36,50p,Sappho Publications LTD,Hanway Place Print Company 016374198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Gale Primary Sources,1978,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Kate, Maria, Nikki, Rosemary, Sally, Valerie Taylor",36,50p,Sappho Publications LTD,"Hanway Place Print Co, Islington, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,Gale Primary Sources,1978,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Kate, Maria, Nikki, Rosemary, Sally, Valerie Taylor",36,50p,Sappho Publications LTD,"Hanway Place Print Co, Islington, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,Gale Primary Sources,1978,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Josephine, Kate, Nikki, Rosemary, Sally, Shelley, Valerie Taylor",36,50p,Sappho Publications LTD,"Hanway Place Print Co, Islington, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,GWL,1979,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Sally, Shelley, Valerie Taylor",36,50p,Sappho Publications LTD,"Hanway Place Print Co, Islington, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
